Q2 complemento - tema mais atuante por deputado no periodo 2023-2026
Tema mais atuante por deputado - consolidado
id_deputado |                                nome |                           tema_mais_atuante | qtd_proposicoes | proposicoes_aprovadas
     220540 |                          Duda Ramos |                 Direitos Humanos e Minorias |              10 |                     0
     220540 |                          Duda Ramos |               Finanças Públicas e Orçamento |              10 |                     0
      74374 |                     Geraldo Resende |                                       Saúde |              10 |                     0
     220616 |                      Luciano Vieira |  Processo Legislativo e Atuação Parlamentar |              10 |                     0
     220599 |                    Marcelo Crivella |  Processo Legislativo e Atuação Parlamentar |              10 |                     0
     179000 |              Marcelo Álvaro Antônio |  Processo Legislativo e Atuação Parlamentar |              10 |                     0
     220647 |                      Mauricio Neves |               Finanças Públicas e Orçamento |              10 |                     0
     220687 |                     Márcio Honaiser |               Finanças Públicas e Orçamento |              10 |                     0
      73692 |                         Osmar Terra |  Processo Legislativo e Atuação Parlamentar |              10 |                     0
     220706 |                            Padovani |  Processo Legislativo e Atuação Parlamentar |              10 |                     0
     220626 |                       Rafael Simoes |  Processo Legislativo e Atuação Parlamentar |              10 |                     0
     204525 |                        Rosana Valle |                          Defesa e Segurança |              10 |                     0
     204525 |                        Rosana Valle |  Processo Legislativo e Atuação Parlamentar |              10 |                     0
     220631 |                        Samuel Viana |  Processo Legislativo e Atuação Parlamentar |              10 |                     0
     220560 |                    Thiago de Joaldo |               Finanças Públicas e Orçamento |              10 |                     0
     204396 |                            Vermelho |                          Defesa e Segurança |              10 |                     0
     204396 |                            Vermelho |               Finanças Públicas e Orçamento |              10 |                     0
     160588 |                       Diego Andrade |               Finanças Públicas e Orçamento |               9 |                     1
     220674 |               Dra. Alessandra Haber |                 Direitos Humanos e Minorias |               9 |                     1
     220563 |                     Icaro de Valmir |               Finanças Públicas e Orçamento |               9 |                     1
     141458 |                 João Carlos Bacelar |               Finanças Públicas e Orçamento |               9 |                     1
     178970 |                         João Daniel |                 Direitos Humanos e Minorias |               9 |                     1
     178970 |                         João Daniel |               Finanças Públicas e Orçamento |               9 |                     1
      74585 |                     Lincoln Portela |               Finanças Públicas e Orçamento |               9 |                     1
     178954 |                      Lucio Mosquini |               Finanças Públicas e Orçamento |               9 |                     1
      74398 |                    Maria do Rosário |                 Direitos Humanos e Minorias |               9 |                     1
     178985 |                     Miguel Lombardi |                 Direitos Humanos e Minorias |               9 |                     1
     178997 |                     Moses Rodrigues |               Finanças Públicas e Orçamento |               9 |                     1
     220584 |                      Murilo Galdino |                 Direitos Humanos e Minorias |               9 |                     1
     204557 |                        Sidney Leite |               Finanças Públicas e Orçamento |               9 |                     1
     136811 |                         Afonso Hamm |               Finanças Públicas e Orçamento |               9 |                     0
     178972 |                        Alex Manente |                 Direitos Humanos e Minorias |               9 |                     0
     220554 |               Alexandre Lindenmeyer |               Finanças Públicas e Orçamento |               9 |                     0
     220554 |               Alexandre Lindenmeyer |                          Trabalho e Emprego |               9 |                     0
     178927 |                       Aliel Machado |                       Administração Pública |               9 |                     0
     220605 |                   Bandeira de Mello |               Finanças Públicas e Orçamento |               9 |                     0
     109429 |                      Benes Leocádio |                 Direitos Humanos e Minorias |               9 |                     0
     220571 |                      Daniel Agrobom |                          Defesa e Segurança |               9 |                     0
     220571 |                      Daniel Agrobom |                 Direitos Humanos e Minorias |               9 |                     0
     204481 |                          Dr. Jaziel |                 Direitos Humanos e Minorias |               9 |                     0
     204351 |                     Dr. Luiz Ovando |               Finanças Públicas e Orçamento |               9 |                     0
     220589 |                     Eduardo Velloso |  Processo Legislativo e Atuação Parlamentar |               9 |                     0
     161550 |                    Emidinho Madeira |  Processo Legislativo e Atuação Parlamentar |               9 |                     0
     160666 |               Félix Mendonça Júnior |               Finanças Públicas e Orçamento |               9 |                     0
     220639 |                    Guilherme Boulos |                 Direitos Humanos e Minorias |               9 |                     0
     178964 |                       Heitor Schuch |               Finanças Públicas e Orçamento |               9 |                     0
     220563 |                     Icaro de Valmir |  Processo Legislativo e Atuação Parlamentar |               9 |                     0
      98615 |                              Ismael |                          Defesa e Segurança |               9 |                     0
     220567 |                  Jeferson Rodrigues |                 Direitos Humanos e Minorias |               9 |                     0
      74554 |                          José Rocha |  Processo Legislativo e Atuação Parlamentar |               9 |                     0
     178970 |                         João Daniel |                       Administração Pública |               9 |                     0
     178970 |                         João Daniel | Agricultura, Pecuária, Pesca e Extrativismo |               9 |                     0
     220600 |                              Lebrão |               Finanças Públicas e Orçamento |               9 |                     0
     204404 |                      Lucas Redecker |                          Defesa e Segurança |               9 |                     0
     178931 |                       Luciano Ducci |                       Administração Pública |               9 |                     0
     178954 |                      Lucio Mosquini |                         Estrutura Fundiária |               9 |                     0
     220607 |                           Max Lemos |               Finanças Públicas e Orçamento |               9 |                     0
     220684 |                       Tião Medeiros |                          Defesa e Segurança |               9 |                     0
     220684 |                       Tião Medeiros |                                    Educação |               9 |                     0
     220684 |                       Tião Medeiros |               Finanças Públicas e Orçamento |               9 |                     0
     160610 |                     Valmir Assunção | Agricultura, Pecuária, Pesca e Extrativismo |               9 |                     0
     204379 |                      Acácio Favacho |                 Direitos Humanos e Minorias |               8 |                     1
     141464 |            José Airton Félix Cirilo |               Finanças Públicas e Orçamento |               8 |                     1
     220669 |                       Lula da Fonte |                 Direitos Humanos e Minorias |               8 |                     1
     204453 |                   Natália Bonavides |               Finanças Públicas e Orçamento |               8 |                     1
     220622 |                         Nely Aquino |                 Direitos Humanos e Minorias |               8 |                     1
     122158 |                         Pedro Paulo |               Finanças Públicas e Orçamento |               8 |                     1
     220532 |                     Rafael Prudente |               Finanças Públicas e Orçamento |               8 |                     1
     221378 |                      Reginete Bispo |                 Direitos Humanos e Minorias |               8 |                     1
     213274 |                       Ricardo Silva |                 Direitos Humanos e Minorias |               8 |                     1
     220714 |                         Adail Filho |                       Administração Pública |               8 |                     0
     220603 |                          Dani Cunha |                                    Educação |               8 |                     0
      62881 |                        Danilo Forte |  Processo Legislativo e Atuação Parlamentar |               8 |                     0
     220561 |                   Delegada Katarina |                 Direitos Humanos e Minorias |               8 |                     0
     204512 |            Delegado Marcelo Freitas |  Processo Legislativo e Atuação Parlamentar |               8 |                     0
      73768 |                    Dilceu Sperafico |  Processo Legislativo e Atuação Parlamentar |               8 |                     0
     220602 |                       Dimas Gadelha |               Finanças Públicas e Orçamento |               8 |                     0
     225730 |                Enfermeira Ana Paula |                          Trabalho e Emprego |               8 |                     0
     178873 |                      Helder Salomão |                       Administração Pública |               8 |                     0
     204539 |               Hercílio Coelho Diniz |               Finanças Públicas e Orçamento |               8 |                     0
      73531 |                        Ivan Valente |                 Direitos Humanos e Minorias |               8 |                     0
      92102 |                 Leur Lomanto Júnior |  Processo Legislativo e Atuação Parlamentar |               8 |                     0
     220581 |                      Luciano Amaral |                                    Educação |               8 |                     0
     133810 |                      Marcelo Moraes |  Processo Legislativo e Atuação Parlamentar |               8 |                     0
     160535 |                              Marcon | Agricultura, Pecuária, Pesca e Extrativismo |               8 |                     0
     220609 |                   Maurício Carvalho |                          Defesa e Segurança |               8 |                     0
